GenusName,Species,CombinedName,Diet,Nesting
Osmia,texana,Osmia (Helicosmia) texana,Oligolectic,Above
Osmia,atrocyanea,Osmia (Melanosmia) atrocyanea,NA,Above
Osmia,caraformis,Osmia (Melanosmia) caraformis,NA,Above
Osmia,cyanella,Osmia (Melanosmia) cyanella,NA,Above
Osmia,densa,Osmia (Melanosmia) densa,Oligolectic,Above
Osmia,gabrielis,Osmia (Melanosmia) gabrielis,NA,Above
Osmia,gaudiosa,Osmia (Melanosmia) gaudiosa,NA,Above
Osmia,granulosa,Osmia (Melanosmia) granulosa,NA,Above
Osmia,laeta,Osmia (Melanosmia) laeta,NA,Above
Osmia,malina,Osmia (Melanosmia) malina,NA,Above
Osmia,nanula,Osmia (Melanosmia) nanula,NA,Above
Osmia,regulina,Osmia (Melanosmia) regulina,NA,Above
Osmia,trevoris,Osmia (Melanosmia) trevoris,NA,Above
Osmia,tristella,Osmia (Melanosmia) tristella,NA,Above
Osmia,nemoris,Osmia (Mystacosmia) nemoris,Polylectic,Above
Osmia,lignaria,Osmia (Osmia) lignaria,Polylectic,Above
Osmia,sp.,Osmia sp.,NA,Above
Osmia,sp. 17,Osmia sp. 17,NA,Above
Osmia,sp. 22,Osmia sp. 22,NA,Above
Osmia,sp. 23,Osmia sp. 23,NA,Above
Osmia,sp. 26,Osmia sp. 26,NA,Above
Osmia,sp. 4,Osmia sp. 4,NA,Above
Osmia,sp. 5,Osmia sp. 5,NA,Above
Osmia,sp. 6,Osmia sp. 6,NA,Above
Osmia,sp. 8,Osmia sp. 8,NA,Above
Osmia,sp. A,Osmia sp. A,NA,Above
Osmia,sp. B,Osmia sp. B,NA,Above
Osmia,sp. L,Osmia sp. L,NA,Above
Panurginus,nigrellus,Panurginus nigrellus,Oligolectic,Below
Panurginus,nigrihirtus,Panurginus nigrihirtus,Oligolectic,Below
Panurginus,occidentalis,Panurginus occidentalis,Oligolectic,Below
Protosmia,rubifloris,Protosmia (Chelostomopsis) rubifloris,NA,Above
Sphecodes,sp.,Sphecodes sp.,Polylectic,Below
Sphecodes,sp. 3,Sphecodes sp. 3,Polylectic,Below
Sphecodes,sp. G1,Sphecodes sp. G1,Polylectic,Below
Stelis,laticincta,Stelis (Dolichostelis) laticincta,Polylectic,Parasitic
Stelis,montana,Stelis montana group montana,Polylectic,Parasitic
Svastra,obliqua,Svastra (Epimelissodes) obliqua expurgata,Oligolectic,Below
Triepeolus,sp. 2,Triepeolus (Triepeolus) sp. 2,Polylectic,NA
Xeromelecta,californica,Xeromelecta (Melectomorpha) californica,Polylectic,Above
Xylocopa,tabaniformis,Xylocopa tabaniformis,Polylectic,Below
